Date,WindSpeed,WindDirection,WindEnergy
03/10/2016 00:00:00,5.73,136,10860.59
04/10/2016 00:00:00,5.99,281,17919.13
05/10/2016 00:00:00,6.15,74,27001.61
06/10/2016 00:00:00,6.24,83,28496.48
07/10/2016 00:00:00,4.88,262,3281.25
08/10/2016 00:00:00,5.5,56,45697.22
09/10/2016 00:00:00,7.82,60,138854.34
10/10/2016 00:00:00,6.37,130,41897.86
11/10/2016 00:00:00,6.57,156,36124.71
12/10/2016 00:00:00,4.45,92,9027.6
13/10/2016 00:00:00,5.81,348,12799.78
14/10/2016 00:00:00,6.37,235,35835.75
15/10/2016 00:00:00,10.74,197,140602.99
16/10/2016 00:00:00,6.86,213,45607.3
17/10/2016 00:00:00,4.16,86,7413.94
18/10/2016 00:00:00,6.31,72,45278.65
19/10/2016 00:00:00,6.56,72,53494.18
20/10/2016 00:00:00,6.65,67,75973.15
21/10/2016 00:00:00,7.07,97,52755.19
22/10/2016 00:00:00,6.94,138,51828.97
23/10/2016 00:00:00,8.6,164,123534
24/10/2016 00:00:00,6.37,132,50816.55
25/10/2016 00:00:00,7.25,96,53102.05
26/10/2016 00:00:00,6.08,90,18885.86
27/10/2016 00:00:00,7.05,98,39483.37
28/10/2016 00:00:00,5.76,138,26607.43
29/10/2016 00:00:00,4.94,170,2038.63
30/10/2016 00:00:00,5.25,182,8559.51
31/10/2016 00:00:00,5.7,124,21398.61
01/11/2016 00:00:00,5.59,134,19402.48
02/11/2016 00:00:00,5.85,108,14039.89
03/11/2016 00:00:00,5.36,146,9550.95
04/11/2016 00:00:00,6.14,191,28071.67
05/11/2016 00:00:00,7.12,324,27523.51
06/11/2016 00:00:00,7.29,316,31550.09
07/11/2016 00:00:00,6.44,319,14981.77
08/11/2016 00:00:00,9.53,239,132276.41
09/11/2016 00:00:00,8.16,186,77496.03
10/11/2016 00:00:00,6.71,230,46200.77
11/11/2016 00:00:00,4.58,187,4028.51
12/11/2016 00:00:00,6.36,257,39755.74
13/11/2016 00:00:00,6.2,39,77255.42
14/11/2016 00:00:00,8.39,60,180061.13
15/11/2016 00:00:00,8.31,70,144160.41
16/11/2016 00:00:00,5.31,353,6457.72
17/11/2016 00:00:00,6.67,270,45719.64
18/11/2016 00:00:00,10.27,255,176896.55
19/11/2016 00:00:00,12.08,207,194318.04
20/11/2016 00:00:00,13.12,218,242983.19
21/11/2016 00:00:00,10.73,208,173531.87
22/11/2016 00:00:00,3.96,81,22764.5
23/11/2016 00:00:00,6.3,2,39249.19
24/11/2016 00:00:00,10.22,177,165248.61
25/11/2016 00:00:00,7.51,72,114519.99
26/11/2016 00:00:00,6.3,75,52537.69
27/11/2016 00:00:00,5.37,74,30451.39
28/11/2016 00:00:00,6.75,77,46724.07
29/11/2016 00:00:00,7.03,93,43538.87
30/11/2016 00:00:00,9.32,102,93588.64
01/12/2016 00:00:00,6.64,130,35233.43
02/12/2016 00:00:00,5.22,140,7566.9
